Planet_Name,System_Distance_PC,Star_Temperature_K,System_Infrared_Magnitude
HATS-34 b,508.842,5380.0,12.095
HD 235088 b,41.1706,5087.0,7.084
Kepler-109 c,474.861,5950.0,11.001
Kepler-26 c,335.307,3914.0,12.63
Kepler-57 b,644.14,5187.9,12.897
Kepler-177 b,1435.44,5732.0,13.421
LTT 1445 A c,6.86929,3340.0,6.496
TOI-1670 b,168.067,6170.0,8.724
TOI-2589 b,200.273,5579.0,9.632
TOI-3894 b,417.365,6000.0,10.479
K2-33 b,139.268,3540.0,10.026
TOI-4153 b,423.84,6860.0,10.296
TOI-5232 b,609.388,6500.0,10.857
Kepler-53 c,1366.07,5858.0,13.807
TOI-1468 c,24.7399,3496.0,8.497
K2-138 e,202.585,5356.3,10.305
Kepler-307 c,575.581,5367.0,12.321
TOI-4379 b,645.158,6020.0,10.732
CoRoT-24 b,591.555,4950.0,12.924
HAT-P-29 b,313.576,6087.0,10.297
HAT-P-46 b,290.736,6120.0,9.924
Kepler-103 b,494.832,6009.0,10.873
Kepler-60 c,1025.1,5905.0,12.516
TOI-1410.01,72.7512,4635.0,8.577
TOI-4406 b,261.834,6219.0,9.73
GJ 9827 c,29.661,4236.0,7.193
K2-10 b,272.36,5620.0,10.645
Kepler-15 b,739.412,5515.0,12.216
Kepler-412 b,1086.24,5750.0,12.837
Kepler-62 b,300.874,4925.0,11.659
POTS-1 b,747.959,4400.0,14.244
CoRoT-5 b,882.472,6100.0,12.546
TOI-1194 b,149.667,5394.0,9.34
TOI-1408 c,139.484,6117.0,8.078
K2-180 b,203.896,5365.0,10.677
TOI-2076 d,41.9091,5192.0,7.115
GJ 9827 b,29.661,4236.0,7.193
K2-280 b,391.537,5500.0,10.765
HAT-P-38 b,255.206,5330.0,10.501
Kepler-1705 b,1633.49,6312.0,13.735
HAT-P-34 b,249.325,6442.0,9.247
HAT-P-35 b,506.965,6096.0,11.03
HATS-27 b,816.988,6438.0,11.55
K2-233 d,67.5062,5033.0,8.375
HATS-8 b,794.637,5679.0,12.661
TOI-2128 b,36.578,5968.0,5.821
TOI-2141 b,77.682,5659.0,7.87
TOI-260 b,20.1852,4026.0,6.549
HD 6061 b,67.6203,5934.0,7.392
TOI-411 c,62.7792,6169.0,6.981
HATS-10 b,534.889,5880.0,11.511
HATS-35 b,514.555,6300.0,11.118
HD 73344 b,35.26,6252.6,5.567
Kepler-406 c,364.03,5538.0,10.97
TOI-1411 b,32.4778,4115.0,7.25
HD 25463 b,45.6181,6353.0,5.706
HD 3167 c,47.2899,5261.0,7.066
Kepler-105 b,459.223,5933.0,11.503
Kepler-56 c,912.994,4840.0,10.227
TOI-5786 b,192.475,6235.0,8.963
HD 110067 b,32.1585,5266.0,6.492
K2-24 c,170.562,5625.0,9.18
Kepler-62 f,300.874,4925.0,11.659
TOI-4329 b,717.128,6000.0,10.63
TOI-559 b,233.266,5925.0,9.638
HAT-P-66 b,935.456,6002.0,11.675
Kepler-27 b,1044.36,5400.0,14.118
GJ 143 b,16.32,4640.0,5.375
HAT-P-8 b,211.553,6200.0,8.953
K2-19 b,289.827,5322.0,11.161
KELT-7 b,136.681,6768.0,7.543
TIC 46432937 b,90.5369,3572.0,10.195
TOI-1823 b,71.6456,4927.0,8.332
CoRoT-13 b,1148.93,5945.0,13.376
CoRoT-21 b,341.24317438112195,6200.0,13.813
Kepler-16 b,75.0852,4450.0,8.996
Kepler-74 b,1177.55,6000.0,12.958
PH1 b,1033.16,6407.0,12.395
LTT 9779 b,80.4373,5443.0,8.016
TOI-1749 d,99.5561,3985.0,10.27
NGTS-30 b,238.377,5455.0,10.501
TOI-1294 b,332.648,5718.0,9.964
TOI-178 g,62.699,4316.0,8.656
EPIC 220674823 b,244.59,5532.0,10.344
HIP 97166 b,65.9501,5216.0,7.923
Kepler-11 f,646.346,5663.0,12.18
Kepler-11 g,646.346,5663.0,12.18
TIC 279401253 b,285.584,5951.0,10.345
HD 28109 d,139.611,6120.0,8.175
L 168-9 b,25.1496,3842.0,7.082
CoRoT-17 b,1176.12,5740.0,12.472
TOI-270 b,22.4793,3506.0,8.251
CoRoT-18 b,764.889,5440.0,13.014
HAT-P-28 b,401.319,5680.0,11.104
TOI-178 d,62.699,4316.0,8.656
K2-287 b,158.335,5695.0,9.188
Kepler-1705 c,1633.49,6312.0,13.735
Kepler-1972 b,287.339,5818.0,9.792
Kepler-453 b,442.846,5527.0,11.92
Kepler-58 b,969.252,5843.0,13.283
Kepler-79 c,1020.72,6174.0,12.606
Kepler-95 b,445.656,5699.0,10.801
