Planet_Mass_Earth,Equilibrium_Temperature,Planet_Radius_Earth,Category,Category_Index,features_cat,rawPrediction,probability,prediction
410.0007,1741,13.809,Gas Giant,0.0,"[410.0007,1741.0,13.809]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
7.67,2038,1.565,Rocky Planet,1.0,"[7.67,2038.0,1.565]","[0.0,10.0]","[0.0,1.0]",1.0
222.47988,750,11.321,Gas Giant,0.0,"[222.47988,750.0,11.321]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
260.61929,1188,10.761,Gas Giant,0.0,"[260.61929,1188.0,10.761]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
19.5,284,1.74,Gas Giant,0.0,"[19.5,284.0,1.74]","[10.0,0.0]","[1.0,0.0]",0.0
12.9,417,2.215,Gas Giant,0.0,"[12.9,417.0,2.215]","[10.0,0.0]","[1.0,0.0]",0.0
4.7,590,2.17,Rocky Planet,1.0,"[4.7,590.0,2.17]","[0.0,10.0]","[0.0,1.0]",1.0
11.9,727,3.271,Gas Giant,0.0,"[11.9,727.0,3.271]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
8.2,859,2.65,Rocky Planet,1.0,"[8.2,859.0,2.65]","[0.0,10.0]","[0.0,1.0]",1.0
82.95363,1003,13.227,Gas Giant,0.0,"[82.95363,1003.0,13.227]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
133.4886,1340,16.814,Gas Giant,0.0,"[133.4886,1340.0,16.814]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
263.79758,1397,13.574,Gas Giant,0.0,"[263.79758,1397.0,13.574]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
190.372,1752,17.609,Gas Giant,0.0,"[190.372,1752.0,17.609]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
3.09,557,1.533,Rocky Planet,1.0,"[3.09,557.0,1.533]","[0.0,10.0]","[0.0,1.0]",1.0
10.15,1077,2.265,Gas Giant,0.0,"[10.15,1077.0,2.265]","[2.7607142857142857,7.239285714285715]","[0.2760714285714286,0.7239285714285715]",1.0
34.62,1443,6.06,Gas Giant,0.0,"[34.62,1443.0,6.06]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
87.08498,295,9.337,Gas Giant,0.0,"[87.08498,295.0,9.337]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
18.496,881,2.199,Gas Giant,0.0,"[18.496,881.0,2.199]","[10.0,0.0]","[1.0,0.0]",0.0
126.49634,1030,11.209,Gas Giant,0.0,"[126.49634,1030.0,11.209]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
617.22586,974,12.52,Gas Giant,0.0,"[617.22586,974.0,12.52]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
687.14846,1332,13.507,Gas Giant,0.0,"[687.14846,1332.0,13.507]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
61.0,1493,5.09,Gas Giant,0.0,"[61.0,1493.0,5.09]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
26.0,1860,3.51,Gas Giant,0.0,"[26.0,1860.0,3.51]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
2129.45033,251,11.579,Gas Giant,0.0,"[2129.45033,251.0,11.579]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
