Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
TOI-1749 b,0.0291,831,Not Habitable
TOI-2145 b,0.111,1363,Not Habitable
TOI-2152 A b,0.05064,1802,Not Habitable
HD 77946 b,0.073,1129,Not Habitable
K2-32 b,0.0795,837,Not Habitable
KELT-16 b,0.02044,2453,Not Habitable
Kepler-1972 b,0.11312557679914075,1102,Not Habitable
NGTS-14 A b,0.0403,1143,Not Habitable
TOI-2525 c,0.249,1102,Not Habitable
Kepler-53 c,0.11312557679914075,1102,Not Habitable
TOI-1670 c,0.249,684,Not Habitable
TOI-178 d,0.0592,690,Not Habitable
TOI-1789 b,0.04882,1927,Not Habitable
TOI-421 b,0.0554,922,Not Habitable
CoRoT-28 b,0.0603,1102,Not Habitable
Kepler-1647 b,2.7205,1102,Not Habitable
Kepler-76 b,0.0274,2140,Not Habitable
TOI-1439 b,0.192,748,Not Habitable
HD 189733 b,0.11312557679914075,1102,Not Habitable
TOI-1386 b,0.173,615,Not Habitable
TOI-2337 b,0.11312557679914075,1102,Not Habitable
TOI-2524 b,0.073,1100,Not Habitable
K2-263 b,0.2573,470,Not Habitable
Kepler-38 b,0.4632,475,Not Habitable
HAT-P-36 b,0.0241,1781,Not Habitable
K2-295 b,0.0451,852,Not Habitable
Kepler-18 b,0.0447,1102,Not Habitable
Kepler-289 b,0.11312557679914075,1102,Not Habitable
Kepler-58 b,0.11312557679914075,1102,Not Habitable
TOI-178 c,0.037,873,Not Habitable
TOI-2338 b,0.158,799,Not Habitable
CoRoT-10 b,0.1055,600,Not Habitable
TOI-5232 b,0.05593,1772,Not Habitable
GJ 414 A c,1.4,125,Not Habitable
HD 137496 b,0.02732,2130,Not Habitable
HAT-P-14 b,0.11312557679914075,1102,Not Habitable
HIP 8152 b,0.093,795,Not Habitable
TOI-286 b,0.0503,979,Not Habitable
Gaia-1 b,0.04047,1102,Not Habitable
HD 21520 b,0.1726,637,Not Habitable
HD 63935 c,0.148,620,Not Habitable
TOI-421 c,0.117,635,Not Habitable
TIC 4672985 b,0.33,517,Not Habitable
TOI-1794 b,0.082,993,Not Habitable
TOI-286 c,0.213,475,Not Habitable
TOI-332 b,0.0159,1871,Not Habitable
Kepler-100 b,0.11312557679914075,1102,Not Habitable
Kepler-432 b,0.301,1102,Not Habitable
Kepler-57 b,0.11312557679914075,1102,Not Habitable
TOI-4914 b,0.098,894,Not Habitable
EPIC 220674823 c,0.1083,805,Not Habitable
HAT-P-8 b,0.11312557679914075,1102,Not Habitable
HD 28109 c,0.308,585,Not Habitable
Kepler-11 d,0.155,1102,Not Habitable
Kepler-24 b,0.11312557679914075,1102,Not Habitable
Kepler-409 b,0.3192,438,Not Habitable
Kepler-79 b,0.117,1102,Not Habitable
Qatar-8 b,0.0474,1457,Not Habitable
CoRoT-11 b,0.0436,1657,Not Habitable
K2-141 c,0.0683,695,Not Habitable
Kepler-95 b,0.11312557679914075,1102,Not Habitable
Qatar-1 b,0.02332,1418,Not Habitable
TOI-1408 c,0.03587,1102,Not Habitable
TOI-2374 b,0.0471,885,Not Habitable
HAT-P-40 b,0.11312557679914075,1102,Not Habitable
KELT-8 b,0.11312557679914075,1102,Not Habitable
CoRoT-9 b,0.4021,420,Not Habitable
HATS-40 b,0.04997,2101,Not Habitable
Kepler-1708 b,1.64,1102,Not Habitable
Kepler-52 c,0.11312557679914075,1102,Not Habitable
Kepler-62 f,0.718,208,Potentially Habitable
TOI-3568 b,0.0485,899,Not Habitable
CoRoT-36 b,0.066,1567,Not Habitable
HD 110067 b,0.0793,800,Not Habitable
HD 149026 b,0.11312557679914075,1102,Not Habitable
KOI-1783.01,0.11312557679914075,1102,Not Habitable
Kepler-106 d,0.11312557679914075,1102,Not Habitable
OGLE-TR-113 b,0.02289,1102,Not Habitable
HAT-P-23 b,0.0232,2056,Not Habitable
K2-138 c,0.04461,1102,Not Habitable
K2-19 b,0.11312557679914075,1102,Not Habitable
K2-199 c,0.0662,694,Not Habitable
Kepler-58 c,0.11312557679914075,1102,Not Habitable
HATS-35 b,0.03199,2037,Not Habitable
Kepler-109 c,0.1546,859,Not Habitable
TOI-1199 b,0.04988,1486,Not Habitable
Kepler-453 b,0.7903,1102,Not Habitable
TIC 237913194 b,0.1207,974,Not Habitable
TOI-1516 b,0.11312557679914075,1102,Not Habitable
EPIC 246851721 b,0.07229,1401,Not Habitable
HATS-28 b,0.04131,1253,Not Habitable
OGLE-TR-56 b,0.02383,2212,Not Habitable
Kepler-454 b,0.09528,916,Not Habitable
TIC 46432937 b,0.02065,872,Not Habitable
Kepler-32 b,0.05,1102,Not Habitable
Kepler-8 b,0.0474,1680,Not Habitable
TOI-1259 A b,0.0407,963,Not Habitable
K2-32 c,0.13843,634,Not Habitable
TOI-2076 c,0.142,543,Not Habitable
Kepler-26 b,0.11312557679914075,1102,Not Habitable
Kepler-4 b,0.0456,1650,Not Habitable
Lupus-TR-3 b,0.0464,1102,Not Habitable
CoRoT-18 b,0.0295,1550,Not Habitable
TOI-4600 c,1.152,191,Not Habitable
TOI-5398 b,0.098,947,Not Habitable
Kepler-36 c,0.11312557679914075,1102,Not Habitable
Kepler-40 b,0.08,1620,Not Habitable
Kepler-427 b,0.091,1100,Not Habitable
Qatar-6 b,0.0423,1006,Not Habitable
TOI-1450 A b,0.11312557679914075,722,Not Habitable
Kepler-9 c,0.227,1102,Not Habitable
OGLE-TR-10 b,0.0434,1102,Not Habitable
CoRoT-6 b,0.0855,1017,Not Habitable
HATS-53 b,0.04753,1312,Not Habitable
