Planet_Name,System_Distance_PC,Equilibrium_Temperature,System_Infrared_Magnitude
Kepler-79 e,1020.72,1102,12.606
TOI-1443 b,85.8034,521,8.674
TOI-244 b,22.0337,458,7.97
TOI-2977 b,341.24317438112195,1544,10.666
TOI-4600 c,216.056,191,10.571
TOI-628 b,178.68,1586,8.811
CoRoT-36 b,925.958,1567,11.592
HAT-P-51 b,440.089,1168,11.614
Kepler-30 b,914.221,1102,13.581
Kepler-425 b,646.647,1070,12.806
Kepler-538 b,155.956,417,9.645001
Kepler-85 c,765.025,1102,13.083
TOI-2525 b,395.398,1102,11.905
HD 97658 b,21.5618,751,5.734
Kepler-68 b,144.166,1275,8.588
HAT-P-26 b,141.837,1102,9.581
Kepler-109 b,474.861,1276,11.001
TOI-1776 b,44.647,1269,6.687
HD 149026 b,75.8643,1102,6.819
TOI-2981 b,527.789,1358,11.78
Kepler-52 c,321.542,1102,12.36
Kepler-78 b,124.376,2223,9.586
Kepler-94 b,191.904,1102,10.594
TOI-2088 b,126.46,300,9.521
Kepler-167 e,341.908,134,11.832
TOI-1347 b,147.476,1400,9.616
Kepler-289 b,704.438,1102,12.508
TOI-1836 c,191.649,2008,8.531
K2-114 b,475.758,701,12.304
TOI-178 e,62.699,600,8.656
TOI-2184 b,788.317,1102,10.41
TOI-4377 b,455.82,1102,9.148
GJ 9827 d,29.661,675,7.193
HD 63433 c,22.4035,622,5.258
KELT-11 b,99.1596,1102,6.122
Kepler-128 b,396.379,1102,10.109
Kepler-57 c,644.14,1102,12.897
