Star_Temperature_K,Star_Radius_Solar,Star_Mass_Solar
6600.0,1.19,1.3
4600.0,0.69,0.71
5555.0,0.91,0.95
6030.0,2.55,2.52
5830.0,1.23,1.46
5130.0,0.88,0.92
4987.0,0.83,0.87
6034.0,1.22,0.86
6010.0,1.64,1.33
6218.0,1.65,1.39
6000.0,1.24,1.46
6110.0,2.01,1.34
5995.0,1.05,1.14
6140.0,0.95,0.72
5650.0,0.83,0.93
6600.0,1.76,1.33
5300.0,1.11,0.95
5070.0,0.9,0.89
6150.0,1.64,1.21
3444.0,0.46,0.46
5700.0,1.44,1.16
6100.0,1.26,1.14
3681.0,0.51,0.51
6300.0,1.48,1.18
5640.0,1.08,1.18
