Discovery_Method,Discovery_Facility,Host_Star,Discovery_Year,orb_id,disc_id
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-270,2019-01-01,490,1466
Transit,Transiting Exoplanet Survey Satellite (TESS),GJ 3090,2022-01-01,695,2081
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-5786,2025-01-01,1042,3122
Transit,HATNet,HAT-P-59,2021-01-01,1280,3836
Transit,Multiple Observatories,HD 110067,2023-01-01,535,1601
Transit,HATSouth,HATS-37 A,2020-01-01,1087,3257
Transit,HATSouth,HATS-71,2020-01-01,589,1763
Transit,SuperWASP-South,WASP-139,2016-01-01,912,2732
Transit,HATSouth,HATS-25,2016-01-01,1279,3833
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2567,2022-01-01,1354,4058
Transit,Transiting Exoplanet Survey Satellite (TESS),LTT 3780,2020-01-01,361,1079
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2447,2024-01-01,416,1244
Radial Velocity,Roque de los Muchachos Observatory,HD 219134,2015-01-01,1017,3047
Transit,Kepler,Kepler-4,2009-01-01,1652,4952
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1246,2022-01-01,590,1766
Transit,Next-Generation Transit Survey (NGTS),NGTS-15,2021-01-01,1148,3440
Transit,Kepler,Kepler-20,2011-01-01,683,2045
Transit,K2,HIP 116454,2014-01-01,755,2261
Transit,HATSouth,HATS-65,2018-01-01,1636,4904
Transit,SuperWASP,WASP-103,2014-01-01,2510,7526
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2207,2022-01-01,1261,3779
Transit,HATSouth,HATS-10,2015-01-01,1409,4223
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2458,2024-01-01,1511,4529
Transit,HATNet,HAT-P-4,2007-01-01,1688,5060
Transit,Kepler,Kepler-78,2013-01-01,2225,6671
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-406,2024-01-01,370,1106
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2416,2023-01-01,1082,3242
Radial Velocity,Paranal Observatory,HD 42813,2023-01-01,1125,3371
Transit,SuperWASP,WASP-5,2008-01-01,1708,5120
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 5278,2021-01-01,945,2831
Transit,Next-Generation Transit Survey (NGTS),NGTS-5,2019-01-01,954,2858
Transit,SuperWASP,WASP-20,2015-01-01,1381,4139
Transit,Qatar,Qatar-4,2017-01-01,1387,4157
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-815,2024-01-01,471,1409
