Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
K2-260 b,0.04392,2090,Not Habitable
CoRoT-9 b,0.4021,420,Not Habitable
HD 219134 f,0.1463,523,Not Habitable
TOI-3807 b,0.0421,1646,Not Habitable
TOI-1448 b,0.0567,426,Not Habitable
TOI-5398 b,0.098,947,Not Habitable
TOI-1794 b,0.082,993,Not Habitable
TOI-6038 A b,0.069,1439,Not Habitable
HD 93963 A b,0.02061,1842,Not Habitable
TOI-2120 b,0.0377,384,Not Habitable
TOI-1260 c,0.0657,651,Not Habitable
TOI-4010 c,0.058,907,Not Habitable
HAT-P-12 b,0.0384,963,Not Habitable
TOI-2145 b,0.111,1363,Not Habitable
Wolf 503 b,0.05712,789,Not Habitable
TOI-3693 b,0.0813,801,Not Habitable
TOI-1853 b,0.0213,1479,Not Habitable
K2-266 e,0.1249,490,Not Habitable
TOI-2589 b,0.3,592,Not Habitable
TOI-4515 b,0.118,705,Not Habitable
TOI-1685 b,0.01138,1062,Not Habitable
HAT-P-61 b,0.0301,1505,Not Habitable
Kepler-51 c,0.384,439,Not Habitable
K2-29 b,0.04217,1171,Not Habitable
WASP-193 b,0.0676,1254,Not Habitable
HD 28109 d,0.411,506,Not Habitable
TOI-1775 b,0.08,708,Not Habitable
GJ 9827 b,0.0189,1035,Not Habitable
TOI-908 b,0.041657,1317,Not Habitable
Kepler-40 b,0.08,1620,Not Habitable
TOI-2109 b,0.01791,3646,Not Habitable
HATS-6 b,0.03623,713,Not Habitable
TOI-5218 b,0.0469,783,Not Habitable
HD 15337 b,0.0522,1001,Not Habitable
Kepler-62 d,0.12,510,Not Habitable
TOI-837 b,0.0888,995,Not Habitable
L 168-9 b,0.0208,998,Not Habitable
HAT-P-25 b,0.0466,1182,Not Habitable
HATS-52 b,0.02498,1834,Not Habitable
Kepler-62 f,0.718,208,Potentially Habitable
L 98-59 c,0.0304,553,Not Habitable
HATS-3 b,0.0485,1648,Not Habitable
Kepler-87 b,0.481,478,Not Habitable
TOI-2338 b,0.158,799,Not Habitable
HAT-P-28 b,0.0434,1384,Not Habitable
CoRoT-11 b,0.0436,1657,Not Habitable
TOI-2373 b,0.112,860,Not Habitable
TOI-257 b,0.1528,1027,Not Habitable
NGTS-24 b,0.0479,1499,Not Habitable
TOI-561 d,0.158,598,Not Habitable
TOI-1420 b,0.071,957,Not Habitable
HATS-32 b,0.04024,1437,Not Habitable
Kepler-6 b,0.04852,1460,Not Habitable
HD 20329 b,0.018,2141,Not Habitable
TIC 46432937 b,0.02065,872,Not Habitable
HATS-44 b,0.03649,1161,Not Habitable
NGTS-6 b,0.01677,1284,Not Habitable
TOI-4010 b,0.0229,1441,Not Habitable
K2-97 b,0.0854,1566,Not Habitable
TOI-1807 b,0.0122,1694,Not Habitable
K2-3 c,0.1357,372,Not Habitable
K2-290 c,0.305,676,Not Habitable
WASP-169 b,0.0681,1604,Not Habitable
NGTS-21 b,0.0236,1357,Not Habitable
WASP-158 b,0.0517,1590,Not Habitable
Kepler-107 b,0.04544,1592,Not Habitable
TOI-3071 b,0.0249,2155,Not Habitable
WASP-18 b,0.02024,2429,Not Habitable
Kepler-20 b,0.04565,1187,Not Habitable
K2-265 b,0.03359,1366,Not Habitable
TOI-286 b,0.0503,979,Not Habitable
KPS-1 b,0.0269,1459,Not Habitable
WASP-93 b,0.04211,1942,Not Habitable
HAT-P-23 b,0.0232,2056,Not Habitable
WASP-130 b,0.1012,833,Not Habitable
K2-38 c,0.0959,949,Not Habitable
TOI-3976 A b,0.0743,1295,Not Habitable
K2-285 d,0.1178,620,Not Habitable
HD 235088 b,0.071,754,Not Habitable
HATS-49 b,0.04515,835,Not Habitable
Wolf 327 b,0.01,996,Not Habitable
TOI-677 b,0.1038,1252,Not Habitable
KELT-24 b,0.0665,1391,Not Habitable
K2-329 b,0.1016,650,Not Habitable
Kepler-10 c,0.241,578,Not Habitable
HATS-13 b,0.04057,1244,Not Habitable
TOI-1416 b,0.019,1517,Not Habitable
TOI-169 b,0.03524,1715,Not Habitable
KOI-94 c,0.1013,1012,Not Habitable
HATS-4 b,0.0362,1315,Not Habitable
Kepler-117 b,0.1445,984,Not Habitable
CoRoT-1 b,0.11312557679914083,1898,Not Habitable
TOI-270 d,0.0721,387,Not Habitable
TOI-178 f,0.1039,521,Not Habitable
WASP-7 b,0.0617,1487,Not Habitable
TOI-2421 b,0.0543,1534,Not Habitable
WASP-164 b,0.02818,1610,Not Habitable
TOI-530 b,0.052,565,Not Habitable
HAT-P-37 b,0.0379,1271,Not Habitable
K2-66 b,0.05983,1372,Not Habitable
K2-266 b,0.01306,1515,Not Habitable
TOI-2010 b,0.5516,400,Not Habitable
NGTS-1 b,0.0326,790,Not Habitable
K2-419 A b,0.1208,377,Not Habitable
HD 28109 c,0.308,585,Not Habitable
WASP-132 c,0.01833,1329,Not Habitable
TOI-2152 A b,0.05064,1802,Not Habitable
HATS-35 b,0.03199,2037,Not Habitable
Kepler-454 b,0.09528,916,Not Habitable
HATS-46 b,0.05367,1054,Not Habitable
TOI-5398 c,0.057,1242,Not Habitable
CoRoT-36 b,0.066,1567,Not Habitable
HAT-P-53 b,0.03159,1778,Not Habitable
HATS-31 b,0.0478,1823,Not Habitable
HATS-66 b,0.04714,1998,Not Habitable
HD 63433 c,0.146,622,Not Habitable
Kepler-117 c,0.2804,704,Not Habitable
TIC 139270665 b,0.163,703,Not Habitable
HATS-61 b,0.07908,1226,Not Habitable
WASP-173 A b,0.0248,1880,Not Habitable
HD 2685 b,0.0568,2061,Not Habitable
TOI-532 b,0.0296,867,Not Habitable
HAT-P-20 b,0.0361,970,Not Habitable
HAT-P-36 b,0.0241,1781,Not Habitable
