Planet_Name,Host_Star,Discovery_Method,Discovery_Year,Discovery_Facility,Reference_Name,Orbital_Period_Days,Orbital_Period_Error_Upper,Orbital_Period_Error_Lower,Semi_Major_Axis_AU,Planet_Radius_Earth,pl_radj,Planet_Mass_Earth,pl_bmassj,pl_bmassprov,Orbital_Eccentricity,Equilibrium_Temperature,UEB_temp,LEB_temp,pl_eqtlim,ttv_flag,st_refname,st_spectype,Star_Temperature_K,Star_UEBTemp,st_tefferr2,st_tefflim,Star_Radius_Solar,Star_Mass_Solar,Star_Metallicity,Star_Surface_Gravity,sy_refname,rastr,ra,dec,System_Distance_PC,System_Visual_Magnitude,System_Infrared_Magnitude,Discovery_Date,Discovery_Method_Index,Discovery_Facility_Index
TOI-178 f,TOI-178,Transit,2021,Multiple Observatories,<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,15.231915,1.15E-4,-9.5E-5,0.1039,2.287,0.204,7.72,0.02429,Mass,0.09335043219404639,521,11,-11,0,0,<a refstr=LELEU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A..26L/abstract target=ref>Leleu et al. 2021</a>,K,4316.0,70.0,-70.0,0,0.65,0.65,-0.23,4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h29m12.48s,7.3020115,-30.4541159,62.699,11.955,8.656,2021-01-01,0.0,9.0
KOI-142 b,KOI-142,Transit,2013,Kepler,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,10.91647,1.4E-4,-1.4E-4,0.11454987782805433,3.438,0.307,9.5,0.03,Mass,0.05561,1100,28,-27,0,1,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,Unknown,5466.0,60.0,-60.0,0,0.9,0.99,0.27,4.3900954400848295,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,40.669413,376.863,13.209,11.454,2013-01-01,0.0,1.0
Kepler-48 c,Kepler-48,Transit,2012,Kepler,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,9.67395,0.013783126748768453,-0.010317993694581256,0.11454987782805433,2.71,0.242,14.61,0.04597,Mass,0.09335043219404639,1100,28,-27,0,1,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,Unknown,5194.0,73.0,-73.0,0,0.89,0.88,0.17,4.49,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h56m33.43s,299.1393094,40.948939,306.738,13.174,11.221,2012-01-01,0.0,1.0
TOI-1268 b,TOI-1268,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=_SCARON_UBJAK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220113341S/abstract target=ref>&Scaron;ubjak et al. 2022</a>,8.1577094,4.5E-6,-4.5E-6,0.0711,9.1,0.812,96.4,0.30331,Mass,0.105,919,30,-31,0,0,<a refstr=_SCARON_UBJAK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220113341S/abstract target=ref>&Scaron;ubjak et al. 2022</a>,K1-K2,5300.0,100.0,-100.0,0,0.92,0.96,0.36,4.55,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h13m33.26s,198.3885831,62.3053799,109.557,10.92,8.911,2022-01-01,0.0,0.0
HAT-P-35 b,HAT-P-35,Transit,2011,HATNet,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,3.646706,2.1E-5,-2.1E-5,0.04978,14.93,1.332,335.62848,1.056,Mass,0.02,1100,28,-27,0,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,Unknown,6096.0,88.0,-88.0,0,1.44,1.24,0.11,4.3900954400848295,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h13m00.17s,123.250703,4.7870288,506.965,12.389,11.03,2011-01-01,0.0,5.0
HD 110067 g,HD 110067,Transit,2023,Multiple Observatories,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>,54.76992,2.0E-4,-2.0E-4,0.2621,2.607,0.233,8.4,0.02643,Mass,0.09335043219404639,440,6,-6,0,0,<a refstr=LUQUE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023Natur.623..932L/abstract target=ref>Luque et al. 2023</a>,K0.0 V,5266.0,64.0,-64.0,0,0.79,0.8,-0.2,4.54,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h39m21.41s,189.8392243,20.0273377,32.1585,8.419,6.492,2023-01-01,0.0,9.0
K2-138 e,K2-138,Transit,2017,K2,<a refstr=LOPEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..90L/abstract target=ref>Lopez et al. 2019</a>,8.26146,2.1E-4,-2.2E-4,0.0782,3.39,0.302,12.97,0.04081,Mass,0.077,1100,28,-27,0,0,<a refstr=LOPEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A..90L/abstract target=ref>Lopez et al. 2019</a>,Unknown,5356.3,41.8,-13.1,0,0.86,0.94,0.14,4.54,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h15m47.77s,348.9490311,-10.8497391,202.585,12.246,10.305,2017-01-01,0.0,2.0
Kepler-1655 b,Kepler-1655,Transit,2018,Kepler,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,11.8728787,8.5E-6,-8.5E-6,0.1029,2.213,0.197,5.4,0.01699,Mass,0.19,938,15,-15,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,Unknown,6148.0,71.0,-71.0,0,1.03,1.03,-0.24,4.3900954400848295,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m45.50s,286.6895986,39.2120802,213.26,11.045,9.785,2018-01-01,0.0,1.0
HAT-P-22 b,HAT-P-22,Transit,2010,HATNet,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.21222,9.0E-6,-9.0E-6,0.11454987782805433,12.89,1.15,785.0401,2.47,Mass,0.02,1100,28,-27,0,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Unknown,5302.0,80.0,-80.0,0,1.11,1.13,0.24,4.36,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h22m43.55s,155.6814593,50.1287115,81.7647,9.763,7.837,2010-01-01,0.0,5.0
NGTS-10 b,NGTS-10,Transit,2020,Next-Generation Transit Survey (NGTS),<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>,0.7668944,3.0E-7,-3.0E-7,0.0143,13.507,1.205,687.14846,2.162,Mass,0.0,1332,49,-54,0,0,<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>,K5 V,4600.0,150.0,-150.0,0,0.7,0.7,-0.02,4.59,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h07m29.35s,91.8722801,-25.5948963,343.1888841886793,14.506,11.728,2020-01-01,0.0,8.0
HAT-P-4 b,HAT-P-4,Transit,2007,HATNet,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,3.056536,0.013783126748768453,-0.010317993694581256,0.04438,14.28,1.274,213.255,0.671,Mass,0.0,1686,30,-26,0,0,<a refstr=TORRES_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...677.1324T/abstract target=ref> Torres et al. 2008 </a>,Unknown,5860.0,80.0,-79.56300672430355,0,1.1058984007525858,0.9800940733772329,0.060960566228513584,4.3900954400848295,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h19m57.89s,229.99122,36.229545,320.451,11.118,9.770001,2007-01-01,0.0,5.0
HATS-22 b,HATS-22,Transit,2017,HATSouth,<a refstr=BENTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468..835B/abstract target=ref>Bento et al. 2017</a>,4.7228124,5.2E-6,-5.2E-6,0.05025,10.682,0.953,870.8542,2.74,Mass,0.079,858,24,-17,0,0,<a refstr=BENTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468..835B/abstract target=ref>Bento et al. 2017</a>,K V,4803.0,55.0,-55.0,0,0.69,0.76,0.0,4.64,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h36m02.37s,174.0098693,-29.5433642,229.518,13.397,10.942,2017-01-01,0.0,4.0
Kepler-91 b,Kepler-91,Transit,2013,Kepler,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,6.24658,8.0E-5,-8.0E-5,0.0731,15.323,1.367,257.4423,0.81,Mass,0.09335043219404639,2040,50,-50,0,0,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,Unknown,4550.0,75.0,-75.0,0,6.3,1.31,0.11,2.95,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m41.50s,285.6729033,44.1167513,1294.69,12.712,10.136,2013-01-01,0.0,1.0
TOI-1444 b,TOI-1444,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,0.4702743,1.1E-6,-1.1E-6,0.0116,1.418,0.126,3.58,0.01126,Mass,0.0,2130,33,-33,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,5460.0,66.0,-66.0,0,0.91,0.95,0.146,4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h21m53.98s,305.4749252,70.9437054,125.463,10.936,9.061,2021-01-01,0.0,0.0
K2-237 b,K2-237,Transit,2018,K2,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,2.18053332,5.4E-7,-5.4E-7,0.03552,16.062,1.433,434.1536,1.366,Mass,0.03,1759,49,-42,0,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,Unknown,6180.0,160.0,-140.0,0,1.24,1.26,0.337,4.35,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h55m04.52s,253.7688479,-28.7105836,314.995,11.602,10.217,2018-01-01,0.0,2.0
Kepler-87 c,Kepler-87,Transit,2013,Kepler,<a refstr=OFIR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A.103O/abstract target=ref> Ofir et al. 2014 </a>,191.2318,0.0015,-0.0015,0.676,6.14,0.548,6.4,0.02,Mass,0.039,403,4,-4,0,1,<a refstr=OFIR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A.103O/abstract target=ref> Ofir et al. 2014 </a>,Unknown,5600.0,50.0,-50.0,0,1.82,1.1,-0.17,3.96,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h51m40.04s,297.9168433,46.9651146,1232.9,14.681,12.981,2013-01-01,0.0,1.0
HD 93963 A c,HD 93963 A,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,3.6451389,4.4E-6,-4.4E-6,0.04726,3.12,0.278,18.4,0.05789,Mass,0.0,1212,18,-19,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,5908.0,66.0,-72.0,0,1.03,1.08,0.11,4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h51m06.41s,162.7766969,25.641065,82.3432,9.182,7.776,2022-01-01,0.0,0.0
Kepler-307 b,Kepler-307,Transit,2013,Kepler,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>,10.4208,9.0E-4,-8.0E-4,0.11454987782805433,2.43,0.217,7.44,0.02341,Mass,0.09335043219404639,1100,28,-27,0,1,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>,Unknown,5367.0,94.0,-94.0,0,0.81,0.91,0.19,4.3900954400848295,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h51m10.82s,297.7950939,40.4176403,575.581,14.149,12.321,2013-01-01,0.0,1.0
CoRoT-30 b,CoRoT-30,Transit,2020,CoRoT,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,9.06005,2.4E-4,-2.4E-4,0.0844,11.31,1.009,921.707,2.9,Mass,0.007,1100,28,-27,0,0,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,G3 V,5650.0,100.0,-100.0,0,0.91,0.98,0.02,4.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h30m24.28s,277.6011767,6.8359338,1032.23,15.571,13.562,2020-01-01,0.0,6.0
HAT-P-65 b,HAT-P-65,Transit,2016,HATNet,<a refstr=KANG_ET_AL__2024 href=https://arxiv.org/abs/2401.03715 target=ref>Kang et al. 2024</a>,2.60544751,5.0E-7,-4.9E-7,0.04042,18.058,1.611,176.07694,0.554,Mass,0.09335043219404639,1818,13,-13,0,0,<a refstr=KANG_ET_AL__2024 href=https://arxiv.org/abs/2401.03715 target=ref>Kang et al. 2024</a>,Unknown,5872.0,40.0,-40.0,0,1.67,1.3,0.208,4.11,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h03m37.32s,315.9054895,11.9893675,738.519,13.121,11.528,2016-01-01,0.0,5.0
TOI-1279 b,TOI-1279,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,9.61419,4.0E-5,-4.0E-5,0.085,2.661,0.237,10.6,0.03335,Mass,0.0,759,12,-12,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,5457.0,67.0,-68.0,0,0.84,0.88,-0.079,4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m15.09s,185.0628734,56.2014094,107.055,10.714,8.887,2024-01-01,0.0,0.0
TOI-559 b,TOI-559,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),<a refstr=IKWUT_UKWA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163....9I/abstract target=ref>Ikwut-Ukwa et al. 2022</a>,6.9839095,5.1E-6,-5.1E-6,0.0723,12.229,1.091,1910.14873,6.01,Mass,0.151,1180,18,-16,0,0,<a refstr=IKWUT_UKWA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163....9I/abstract target=ref>Ikwut-Ukwa et al. 2022</a>,G V,5925.0,85.0,-76.0,0,1.23,1.03,-0.069,4.27,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h07m16.47s,46.8186159,-31.1629951,233.266,11.091,9.638,2021-01-01,0.0,0.0
HAT-P-6 b,HAT-P-6,Transit,2007,HATNet,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.85298,5.0E-6,-5.0E-6,0.11454987782805433,16.589,1.48,419.5356,1.32,Mass,0.0,1100,28,-27,0,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Unknown,6570.0,80.0,-80.0,0,1.62,1.79,-0.13,4.22,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m05.78s,354.7740917,42.4659866,275.358,10.469,9.313,2007-01-01,0.0,5.0
HATS-14 b,HATS-14,Transit,2015,HATSouth,<a refstr=MANCINI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..63M/abstract target=ref>Mancini et al. 2015</a>,2.7667641,2.7E-6,-2.7E-6,0.03815,11.646,1.039,340.39593,1.071,Mass,0.142,1276,20,-20,0,0,<a refstr=MANCINI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..63M/abstract target=ref>Mancini et al. 2015</a>,Unknown,5346.0,60.0,-60.0,0,0.93,0.97,0.33,4.48,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h52m51.71s,313.2154754,-25.6873756,513.011,14.052,12.037,2015-01-01,0.0,4.0
HIP 97166 b,HIP 97166,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,10.288914,6.4E-6,-6.4E-6,0.091,2.48,0.221,19.1,0.0601,Mass,0.29,702,9,-9,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,5216.0,52.0,-52.0,0,0.84,0.93,0.248,4.56,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h44m58.71s,296.2446203,74.0628577,65.9501,9.92,7.923,2021-01-01,0.0,0.0
TOI-1470 c,TOI-1470,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,18.08816,6.0E-5,-8.0E-5,0.106,2.47,0.22,7.24,0.02278,Mass,0.5,373,28,-27,0,0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,M1.5 V,3709.0,11.0,-11.0,0,0.47,0.47,0.0,4.77,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h40m21.39s,10.0891431,61.2133868,51.9503,13.459,9.283,2023-01-01,0.0,0.0
TOI-1807 b,TOI-1807,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,0.54937097,7.2E-7,-7.2E-7,0.0122,1.497,0.134,2.44,0.00768,Mass,0.0,1694,32,-32,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,Unknown,4914.0,60.0,-58.0,0,0.75,0.8,0.044,4.6,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h25m07.83s,201.2826259,38.9223671,42.5775,10.0,7.568,2021-01-01,0.0,0.0
Kepler-51 b,Kepler-51,Transit,2012,Kepler,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,45.154,2.0E-4,-2.0E-4,0.2514,7.1,0.633,2.1,0.007,Mass,0.04,543,11,-11,0,1,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,Unknown,6018.0,107.0,-107.0,0,0.94,1.04,0.060960566228513584,4.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h45m55.14s,296.4797624,49.9376486,783.831,14.885,13.197,2012-01-01,0.0,1.0
HATS-57 b,HATS-57,Transit,2019,HATSouth,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,2.350621,1.3E-6,-1.3E-6,0.03493,12.767,1.139,1000.21101,3.147,Mass,0.028,1413,10,-10,0,0,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,Unknown,5587.0,19.0,-19.0,0,0.96,1.03,0.268,4.48,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h03m47.59s,60.9482779,-19.0568182,279.485,12.333,10.707,2019-01-01,0.0,4.0
HIP 29442 d,HD 42813,Radial Velocity,2023,Paranal Observatory,<a refstr=EGGER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.223E/abstract target=ref>Egger et al. 2024</a>,6.429575,2.6E-5,-2.6E-5,0.0673,1.538,0.137,5.14,0.01617,Mass,0.09335043219404639,920,16,-16,0,0,<a refstr=EGGER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A.223E/abstract target=ref>Egger et al. 2024</a>,Unknown,5289.0,69.0,-69.0,0,0.98,0.9,0.24,4.39,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h12m13.88s,93.0578446,-14.6493167,68.192,9.49,7.587,2023-01-01,1.0,21.0
KELT-3 b,KELT-3,Transit,2013,KELT,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.70339,1.0E-5,-1.0E-5,0.11454987782805433,17.486,1.56,616.5902,1.94,Mass,0.0,1100,28,-27,0,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,Unknown,6304.0,49.0,-49.0,0,1.7,1.96,0.05,4.2,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h54m34.35s,148.6431193,40.3879446,210.252,9.816,8.662,2013-01-01,0.0,15.0
HATS-4 b,HATS-4,Transit,2014,HATSouth,<a refstr=JORDAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....148...29J/abstract target=ref> Jordan et al. 2014 </a>,2.516729,2.0E-6,-2.0E-6,0.0362,11.433,1.02,420.471,1.323,Mass,0.013,1315,21,-21,0,0,<a refstr=JORDAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....148...29J/abstract target=ref> Jordan et al. 2014 </a>,G,5403.0,50.0,-50.0,0,0.93,1.0,0.43,4.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h16m26.90s,94.1120914,-22.5468824,416.459,13.516,11.612,2014-01-01,0.0,4.0
KOI-94 b,KOI-94,Transit,2013,Kepler,<a refstr=WEISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768...14W/abstract target=ref> Weiss et al. 2013 </a>,3.743208,1.5E-5,-1.5E-5,0.05119,1.71,0.153,10.5,0.033,Mass,0.25,1486,28,-27,0,0,<a refstr=WEISS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768...14W/abstract target=ref> Weiss et al. 2013 </a>,Unknown,6182.0,58.0,-58.0,0,1.52,1.28,0.023,4.18,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m19.94s,297.3330716,41.8911186,477.052,12.314,10.926,2013-01-01,0.0,1.0
