radius,mass,temperature,Discovery_Method,Discovery_Method_Index,features,rawPrediction,probability,prediction
3.33,25.0,1102,Transit,0.0,"[3.33,25.0,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
12.733,2669.66,1102,Transit,0.0,"[12.733,2669.66,1102.0]","[9.865554674163507,0.12013064793297594,0.011904796526112196,0.0024098813774041227]","[0.9865554674163507,0.012013064793297595,0.0011904796526112196,0.00024098813774041226]",0.0
1.875,7.99,1102,Radial Velocity,1.0,"[1.875,7.99,1102.0]","[8.750149921878757,0.6927469824847702,0.0034273411804261944,0.5536757544560468]","[0.8750149921878757,0.06927469824847701,0.00034273411804261944,0.05536757544560468]",0.0
1.9,4.0,441,Transit,0.0,"[1.9,4.0,441.0]","[9.747394708632418,0.24954718739204604,0.0,0.0030581039755351682]","[0.9747394708632419,0.024954718739204605,0.0,0.0003058103975535168]",0.0
3.84,27.0,1102,Transit,0.0,"[3.84,27.0,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
2.37,8.92,284,Transit,0.0,"[2.37,8.92,284.0]","[8.651906837489161,1.3404315747772177,0.004603483758087117,0.0030581039755351682]","[0.865190683748916,0.13404315747772175,0.0004603483758087116,0.00030581039755351675]",0.0
3.9,11.3,1102,Transit,0.0,"[3.9,11.3,1102.0]","[9.834024388754111,0.14289046634546615,0.011705104978235256,0.011380039922187342]","[0.9834024388754111,0.014289046634546615,0.0011705104978235255,0.001138003992218734]",0.0
11.77,3209.9,767,Transit,0.0,"[11.77,3209.9,767.0]","[9.081656369078761,0.9040289530177218,0.011904796526112196,0.0024098813774041227]","[0.9081656369078761,0.09040289530177217,0.0011904796526112196,0.00024098813774041226]",0.0
3.42,22.4,1395,Transit,0.0,"[3.42,22.4,1395.0]","[9.874564703525815,0.10388825253177959,0.01483990121647977,0.006707142725925661]","[0.9874564703525814,0.010388825253177959,0.001483990121647977,0.0006707142725925661]",0.0
1.669,4.77,873,Transit,0.0,"[1.669,4.77,873.0]","[8.551625362428858,1.4420342578844467,0.002188183807439825,0.004152195879255081]","[0.8551625362428856,0.14420342578844464,0.00021881838074398245,0.000415219587925508]",0.0
6.18,38.15,650,Transit,0.0,"[6.18,38.15,650.0]","[9.902431452745835,0.08092303407759067,0.014090566329903255,0.0025549468466705798]","[0.9902431452745836,0.008092303407759068,0.0014090566329903254,0.00025549468466705796]",0.0
14.572,718.2958,1102,Transit,0.0,"[14.572,718.2958,1102.0]","[9.90278801553478,0.079762510323459,0.01503959276435671,0.0024098813774041227]","[0.990278801553478,0.0079762510323459,0.001503959276435671,0.00024098813774041226]",0.0
15.693,597.5204,1856,Transit,0.0,"[15.693,597.5204,1856.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
11.209,126.49634,1030,Transit,0.0,"[11.209,126.49634,1030.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
13.081,311.47184,1534,Transit,0.0,"[13.081,311.47184,1534.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
14.314,587.41341,1781,Transit,0.0,"[14.314,587.41341,1781.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
