System_Distance_PC,Star_Mass_Solar,temperature
123.483,1.29,2429
386.346,1.08,1733
141.812,1.18,1252
124.73,1.42,1102
253.985,1.3,1540
375.31,0.83,1636
185.932,1.08,1516
288.326,0.87,1119
524.993,1.38,1590
297.462,1.11,1102
49.7876,0.58,825
49.9605,0.98,1102
